id,stk_name,日期:
1118,爱尔眼科,4月8日
1119,片仔癀,4月8日
1120,智飞生物,4月8日
1121,华东医药,4月8日
1122,三六零,4月8日
1123,顺丰控股,4月8日
1124,万华化学,4月8日
1125,中国国旅,4月8日
1126,上海机场,4月8日
1127,牧原股份,4月8日
1128,云南白药,4月8日
1129,七匹狼,4月8日
1130,登海种业,4月8日
1131,金种子酒,4月8日
1132,鹏欣资源,4月8日
1133,新华网,6月7日
1134,苏宁易购,1月4日
1135,万达电影,1月4日
1136,步步高,6月3日
1137,中国联通,6月3日
1138,万达电影,6月3日
1139,东方集团,6月6日
1140,证券名称,6月5日
1141,大智慧,6月6日
1142,农产品,6月6日
1143,工业富联,6月11日
1144,宁德时代,6月11日
1145,环球印务,6月11日
1146,三德科技,6月11日
1147,南京证券,6月11日
1148,上海沪工,6月11日
1149,绿色动力,6月11日
1150,亿嘉和,6月11日
1151,国立科技,6月11日
1152,苏奥传感,6月11日
1153,联得装备,6月11日
1154,天宇股份,6月11日
1155,英维克,6月11日
1156,桐昆股份,6月11日
1157,实达集团,6月11日
1158,国瓷材料,6月11日
1159,金科文化,6月11日
1160,摩登大道,6月11日
1161,伟星股份,6月11日
1162,东土科技,6月11日
1163,美都能源,6月11日
1164,润欣科技,6月11日
1165,宁波联合,6月11日
1193,华能国际,6月4日
1197,国泰君安,6月6日
1198,国泰君安,6月6日
2,新国都,6月8日
3,博迈科,6月8日
4,恒力股份,6月8日
5,万润科技,6月8日
6,共进股份,6月8日
7,庄园牧场,6月8日
8,宏辉果蔬,6月8日
9,蓝英装备,6月8日
34,长园集团,5月29日
98,大智慧,6月6日
99,农产品,6月6日
150,华能国际,6月4日
155,国泰君安,6月6日
159,新国都,6月8日
160,博迈科,6月8日
161,恒力股份,6月8日
162,万润科技,6月8日
163,共进股份,6月8日
164,庄园牧场,6月8日
165,宏辉果蔬,6月8日
166,蓝英装备,6月8日
167,聚力文化,5月27日
168,绿地控股,6月3日
169,雅戈尔,6月3日
170,北京城建,6月3日
171,张江高科,6月3日
172,保利地产,6月3日
173,华夏幸福,6月3日
174,泰禾集团,6月3日
175,新城控股,6月3日
176,新湖中宝,6月3日
177,金科股份,6月3日
178,大名城,6月3日
179,香江控股,6月3日
180,格力地产,6月3日
181,北辰实业,6月3日
182,雅戈尔,5月20日
183,中信证券,5月20日
184,广博股份,5月20日
185,联创电子,5月20日
186,宁波银行,5月20日
187,海通证券,5月20日
188,中国平安,5月20日
189,金正大,5月20日
190,中国石油,6月7日
191,长园集团,5月29日
192,科迪乳业,3月14日
193,昆仑万维,3月14日
194,步长制药,3月14日
195,隆鑫通用,3月14日
196,日出东方,3月14日
197,招商银行,3月14日
198,中原证券,3月14日
199,方盛制药,6月6日
201,双塔食品,6月7日
202,丰乐种业,6月7日
203,农发种业,6月7日
204,交通银行,6月7日
205,宁德时代,6月7日
206,新华网,5月30日
207,农产品,6月1日
208,中信证券,5月28日
209,格力电器,4月8日
210,山东黄金,4月8日
211,北方稀土,4月8日
212,恒瑞医药,4月8日
213,长春高新,4月8日
214,贵州茅台,4月8日
215,金螳螂,4月8日
216,阳光城,4月8日
217,杰瑞股份,4月8日
218,紫光国微,4月8日
219,浪潮信息,4月8日
220,拓尔思,4月8日
221,广汇能源,4月8日
222,启迪桑德,4月8日
223,航天信息,4月8日
224,石基信息,4月8日
225,东华软件,4月8日
226,伊利股份,4月8日
227,中航电子,4月8日
228,亨通光电,4月8日
229,信息发展,4月8日
230,乐普医疗,4月8日
231,爱尔眼科,4月8日
232,片仔癀,4月8日
233,智飞生物,4月8日
234,华东医药,4月8日
235,三六零,4月8日
236,顺丰控股,4月8日
237,万华化学,4月8日
238,中国国旅,4月8日
239,上海机场,4月8日
240,牧原股份,4月8日
241,云南白药,4月8日
242,七匹狼,4月8日
243,登海种业,4月8日
244,金种子酒,4月8日
245,鹏欣资源,4月8日
246,新华网,6月7日
248,步步高,6月3日
249,中国联通,6月3日
250,万达电影,6月3日
251,东方集团,6月6日
252,证券名称,6月5日
253,大智慧,6月6日
254,农产品,6月6日
255,昆仑万维,5月29日
282,工业富联,6月11日
283,宁德时代,6月11日
284,环球印务,6月11日
285,三德科技,6月11日
286,南京证券,6月11日
287,上海沪工,6月11日
288,绿色动力,6月11日
289,亿嘉和,6月11日
290,国立科技,6月11日
291,苏奥传感,6月11日
292,联得装备,6月11日
293,天宇股份,6月11日
294,英维克,6月11日
295,桐昆股份,6月11日
296,实达集团,6月11日
297,国瓷材料,6月11日
298,金科文化,6月11日
299,摩登大道,6月11日
300,伟星股份,6月11日
301,东土科技,6月11日
302,美都能源,6月11日
303,润欣科技,6月11日
304,宁波联合,6月11日
305,华能国际,6月4日
309,国泰君安,6月6日
310,国泰君安,6月6日
311,农产品,6月5日
312,中国医药,6月12日
314,山西证券,2月25日
328,中国联通,6月6日
329,中信证券,6月6日
330,中兴通讯,6月6日
331,老百姓,6月6日
332,中信证券,6月6日
333,国泰君安,6月6日
334,浙商证券,6月6日
335,海通证券,6月6日
336,招商证券,6月6日
337,中原证券,6月6日
338,天风证券,6月6日
339,华林证券,6月6日
340,国金证券,6月6日
341,太平洋,6月6日
342,财通证券,6月6日
343,广发证券,6月6日
344,东兴证券,6月6日
345,南京证券,6月6日
346,华安证券,6月6日
347,中信建投,6月6日
348,华泰证券,6月6日
349,申万宏源,6月6日
350,比亚迪,6月6日
351,新城市,6月6日
352,中国联通,6月6日
353,工商银行,6月6日
354,中国银行,6月6日
355,金融街,6月6日
356,长春高新,6月5日
357,我武生物,6月5日
358,安图生物,6月5日
359,葛洲坝,6月15日
360,科融环境,7月24日
361,东方航空,10月1日
362,神雾环保,11月18日
363,工商银行,11月18日
364,洽洽食品,6月12日
365,好想你,6月12日
366,来伊份,6月12日
367,桂发祥,6月12日
368,盐津铺子,6月12日
369,中信国安,6月4日
370,金逸影视,6月5日
371,银河磁体,6月6日
372,中钢天源,6月6日
373,有研新材,6月6日
374,北矿科技,6月6日
375,金力永磁,6月6日
376,横店东磁,6月6日
377,中色股份,6月6日
378,中国联通,6月6日
379,国金证券,6月6日
380,银河磁体,6月6日
381,中钢天源,6月6日
382,有研新材,6月6日
383,金力永磁,6月6日
384,北矿科技,6月6日
385,横店东磁,6月6日
386,中色股份,6月6日
387,泰嘉股份,6月6日
388,万向德农,6月6日
389,民德电子,6月6日
390,京泉华,6月6日
391,欣天科技,6月6日
392,德宏股份,6月6日
393,新农开发,6月6日
394,双塔食品,6月6日
395,柏堡龙,6月6日
396,银泰资源,6月6日
397,深南股份,6月6日
398,同为股份,6月6日
399,中国科传,6月6日
400,金健米业,6月6日
401,国脉科技,6月6日
402,苏垦农发,6月6日
403,广西广电,6月6日
404,星帅尔,6月6日
405,中交地产,6月6日
406,国泰集团,6月6日
407,天华超净,6月6日
408,综艺股份,6月6日
409,新赛股份,6月6日
410,华铭智能,6月6日
411,荃银高科,6月6日
412,电工合金,6月6日
413,冠农股份,6月6日
414,新莱应材,6月6日
415,立霸股份,6月6日
416,众兴菌业,6月6日
417,泰晶科技,6月6日
418,京粮控股,6月6日
419,德生科技,6月6日
420,麦趣尔,6月6日
421,华通热力,6月6日
422,朗科科技,6月6日
423,立昂技术,6月6日
424,浔兴股份,6月6日
425,惠伦晶体,6月6日
426,赛意信息,6月6日
427,贝肯能源,6月6日
428,实丰文化,6月6日
429,集泰股份,6月6日
430,宝光股份,6月6日
431,中石科技,6月6日
432,明阳电路,6月6日
433,宇晶股份,6月6日
434,京天利,6月6日
435,广电网络,6月6日
436,朗科智能,6月6日
437,泉峰汽车,6月6日
438,铭普光磁,6月6日
439,华脉科技,6月6日
440,南兴装备,6月6日
441,汉森制药,6月6日
442,福建金森,6月6日
443,天晟新材,6月6日
444,迪贝电气,6月6日
445,方正电机,6月6日
446,天风证券,6月6日
